sku,name,slug,brand,category,category_slug,price,wholesale_price,cost_price,margin,stock,unit,format,content_info,image_url,has_image,featured,active
FOPPP-1102,POTE BISAGRA CON TAPA DE 225 CC.,pote-bisagra-con-tapa-de-225-cc-foppp-1102,FOODPACK,Alimentos y Cocina,alimentos-cocina,44,37.4,35.2,8.8,28540,UN,,225CC,/products/FOPPP-1102.jpg,True,True,True
FOPINT-4008-FL,POTE DESECHABLE CON TAPA PLANA 250 A 350 CC,pote-desechable-con-tapa-plana-250-a-350-cc-fopint-4008-fl,FOODPACK,Alimentos y Cocina,alimentos-cocina,53,45.05,36.5,16.5,7400,UN,,350CC,/products/FOPINT-4008-FL.jpg,True,True,True
PRI85550,Adhesivo Barra Proarte 36 g,adhesivo-barra-proarte-36-g-pri85550,PRISA,Alimentos y Cocina,alimentos-cocina,8544,7262.4,5760,2784,36,UN,,36G,/products/PRI85550.jpg,True,True,True
PRI17086,Cartón Piedra Proarte 1.0 mm 650 g 55x77 cm,carton-piedra-proarte-10-mm-650-g-55x77-cm-pri17086,PRISA,Alimentos y Cocina,alimentos-cocina,683,580.55,602,81,300,UN,55X77,650G,/products/PRI17086.jpg,True,False,True
DPSPOTEN036,POTE BISAGRA LISO 225 GRMS 1X600,pote-bisagra-liso-225-grms-1x600-dpspoten036,DPS,Alimentos y Cocina,alimentos-cocina,52,44.2,38.8,13.2,4200,UN,1X600,,,False,True,True
FOPINT-4012-FL,Pote 12 oz c/tapa plana PET (1x540),pote-12-oz-ctapa-plana-pet-1x540-fopint-4012-fl,FOODPACK,Alimentos y Cocina,alimentos-cocina,66,56.1,38.9,27.1,3780,UN,1X540,12OZ,/products/FOPINT-4012-FL.jpg,True,True,True
DIMZ375824,AGUA PURIFICADA NATURAL SIN GAS 500 CC,agua-purificada-natural-sin-gas-500-cc-dimz375824,DIMERC,Alimentos y Cocina,alimentos-cocina,51054,43395.9,1926,49128,50,UN,,500CC,,False,True,True
DIMZ416060,AGUA PURIFICADA NATURAL CON GAS 500 CC,agua-purificada-natural-con-gas-500-cc-dimz416060,DIMERC,Alimentos y Cocina,alimentos-cocina,11418,9705.3,1926,9492,50,UN,,500CC,/products/DIMZ416060.jpg,True,True,True
AKISAC300,Saco Kraft Café 3 Kilos de 16 x 40 cms.,saco-kraft-cafe-3-kilos-de-16-x-40-cms-akisac300,SIN MARCA,Alimentos y Cocina,alimentos-cocina,28,23.8,15.5,12.5,6000,UN,16X40,16X40CM,,False,True,True
FOPTG-T80,TAPA POTE AVIÓN PP 180 CC,tapa-pote-avion-pp-180-cc-foptg-t80,FOODPACK,Alimentos y Cocina,alimentos-cocina,15,12.75,9.7,5.3,8000,UN,,180CC,/products/FOPTG-T80.jpg,True,True,True
DPSBOCAN033,"PAQUETE DE BOLSAS PLASTICAS DESECHABLES TIPO CAMISETA 40 X 30 CM, COLOR BLANCA.",paquete-de-bolsas-plasticas-desechables-tipo-camiseta-40-x-30-cm-color-blanca-dpsbocan033,DPS,Alimentos y Cocina,alimentos-cocina,14,11.9,9.9,4.1,6900,BOLSA,40X30,40X30CM,/products/DPSBOCAN033.jpg,True,True,True
DPSMAGUN065,GUANTE LATEX EXAMGLOVE T-L 1X100,guante-latex-examglove-t-l-1x100-dpsmagun065,DPS,Alimentos y Cocina,alimentos-cocina,850,722.5,2152,-1302,30,UN,1X100,,,False,False,True
FOPPI-SQK300,Saco Kraft Café 3kg (1x1000),saco-kraft-cafe-3kg-1x1000-foppi-sqk300,FOODPACK,Alimentos y Cocina,alimentos-cocina,28,23.8,15.2,12.8,3000,UN,1X1000,3KG,/products/FOPPI-SQK300.jpg,True,True,True
FOPCM-T100,Saco Kraft Café 1kg (1x1000),saco-kraft-cafe-1kg-1x1000-fopcm-t100,FOODPACK,Alimentos y Cocina,alimentos-cocina,10,8.5,8.1,1.9,5000,UN,1X1000,1KG,/products/FOPCM-T100.jpg,True,True,True
DIM123933,SALSA DE TOMATE NATURAL 200 GR POMAROLA,salsa-de-tomate-natural-200-gr-pomarola-dim123933,DIMERC,Alimentos y Cocina,alimentos-cocina,495,420.75,371,124,108,UN,,200GR,/products/DIM123933.jpg,True,False,True
FOPPI-SQK100,SACO KRAFT CAFE 1KG (1X1000),saco-kraft-cafe-1kg-1x1000-foppi-sqk100,FOODPACK,Alimentos y Cocina,alimentos-cocina,10,8.5,8.1,1.9,3000,UN,1X1000,1KG,/products/FOPPI-SQK100.jpg,True,True,True
DIMZ463055,JUGO EN POLVO SOBRE 60 GR RINDE 1 LT GO NARANJA ZUKO,jugo-en-polvo-sobre-60-gr-rinde-1-lt-go-naranja-zuko-dimz463055,DIMERC,Alimentos y Cocina,alimentos-cocina,413,351.05,310,103,70,UN,,60GR,,False,False,True
